Objection,Comments_matched,%_of_pool,Verbatim_examples (top by reactions)
Customer service / returns / refunds,647,14%,"""He had access to a far better ER than I do. My father had a heart attack and they missed it. I took him almost an hour away to another and they had him in the hospital to place multiple stents. This same ER ignored my stroke symptoms for 8 hours while I sat in their waiting room, because it wasn't that bad... I am not so sure they would have saved this man"" (31 reactions) || ""Checked for you so you don’t have to: Reviewed in the United States on February 12, 2026 I ordered 2 of these bands (one for me and one for my wife) directly from the Hume website. Right after I placed the order I saw a Youtube video ""FAKE Scientists & Cheap Hardware! HUME Band Review"" which freaked me out. So I immediately sent an email requesting that my UNSHIPPED order be canceled. That's where the fun begins. Received no response from their customer support. So I sent another email request to cancel the unshipped order. No response. 2 days later the bands shipped. Sent another email. No reply. The bands arrive. More emails sent requesting a refund. Finally I get a reply for me to mail them back at my expense. I sent them back via FedEx (with signature tracking). Still, no refund. More emails. No replies. Canceled the charge through my credit card. That got their attention. They told me to cancel the chargeback and they would issue a refund. I was very skeptical - but compiled with their request. More radio silence on their end. After multiple pleading emails sent, they eventually did refund our $498. Lesson... This is a shady company! If you choose to do business with Hume be advised that you're in for zero support. They're happy to take your money, but their support is abysmal."" (2 reactions) || ""Do Not buy there band please... they are the worst company to deal with... I had problems with mine after 2 weeks and have sent it back and I am now almost 2 month for waiting for my refund and still out my money plus they money I had to spend to send it back to them. I have emails that are so long with the same thing over and over on they are rushing my refund through there system and have yet to see it. They only work via emails and there is no phone number to talk to them one on one. It's been so frustrating dealing with them."" (2 reactions) || ""I wouldn’t recommend. I have the scale and the bands. They are wildly inaccurate and constantly disconnect. And with customer service refusing to refund even though it says “don’t like it? No problem.” They say you must demonstrate it’s defective to get a refund. I’m a gym owner and was going to turn my members onto this. Not anymore."" (2 reactions) || ""Be sure you want this product before you buy and be aware that in order to get the extra information it requires a subscription for about $20 Canadian a month. I returned mine, which they do not make easy and have been waiting for my refund for over a month."" (2 reactions)"
Price / too expensive,378,8%,"""Your ad states $199 but when I tried to buy it $249 was the only price available. I would like the $199 price"" (11 reactions) || ""I don’t see a coupon code anywhere on this image. Here it shows $199, but on the site it shows $249. Am I missing it?"" (5 reactions) || ""Hmmmm? Says $199 then when you click on it adds another $50. Very sheepish. I would have bought the scale also"" (4 reactions) || ""Help me out $239 with 50% off should be $119.50 not $199"" (4 reactions) || ""I don’t get the $199 when I put in cart? Fake account?"" (4 reactions)"
Scam / legitimacy doubt,301,6%,"""I don’t get the $199 when I put in cart? Fake account?"" (4 reactions) || ""Checked for you so you don’t have to: Reviewed in the United States on February 12, 2026 I ordered 2 of these bands (one for me and one for my wife) directly from the Hume website. Right after I placed the order I saw a Youtube video ""FAKE Scientists & Cheap Hardware! HUME Band Review"" which freaked me out. So I immediately sent an email requesting that my UNSHIPPED order be canceled. That's where the fun begins. Received no response from their customer support. So I sent another email request to cancel the unshipped order. No response. 2 days later the bands shipped. Sent another email. No reply. The bands arrive. More emails sent requesting a refund. Finally I get a reply for me to mail them back at my expense. I sent them back via FedEx (with signature tracking). Still, no refund. More emails. No replies. Canceled the charge through my credit card. That got their attention. They told me to cancel the chargeback and they would issue a refund. I was very skeptical - but compiled with their request. More radio silence on their end. After multiple pleading emails sent, they eventually did refund our $498. Lesson... This is a shady company! If you choose to do business with Hume be advised that you're in for zero support. They're happy to take your money, but their support is abysmal."" (2 reactions) || ""Is this legit bc when I go to the actual site they don’t have bogo for me either ?"" (2 reactions) || ""PLEASE READ!!!!! They say will take 7-10 days to process the return payment, 10 weeks later still nothing! Every time it's a different name signing the email where they apologize but that's it! DO NOT BUY THIS HEALTH BAND! You can't wear it while sleeping, either you scratch yourself with the exposed metal edges, ripping of your bedsheets or your palm will go numb because the bulky device is on your wrist and makes no difference if you're turning inside! I bought the band being manipulated by the fake reviews, and now $300 gone! Do not be gullible like I was! For you liars and scammers use the money stolen from me and buy yourself popcorn to eat while reading me on every social media"" (1 reactions) || ""This company is absolute garbage. I tried to cancel my order shortly after checking out bc I found so many videos like this and they refused. So I emailed them. It took 22 emails to initiate the return process. I paid 56 dollars the day it was delivered to over night it back to them 3 weeks after it was verified they received the unopened box back they still have returned my money. This whole company screams scam. I’m beyond mad. This whole mess has been going on over a month now. I heavily advise steering clear of this company"" (1 reactions)"
Hidden subscription / membership fee,285,6%,"""You all need to put in the adds that the app is free but only gives you basic stuff. To unlock the full app it is $99/year"" (4 reactions) || ""Be sure you want this product before you buy and be aware that in order to get the extra information it requires a subscription for about $20 Canadian a month. I returned mine, which they do not make easy and have been waiting for my refund for over a month."" (2 reactions) || ""That’s not true you need a subscription to HUME which is approximately $9.99 per month. You don’t technically need it for the watch and scale to work however, there are so many features that don’t work if you don’t have the subscription. The hardware itself works without the subscription, but some of the “premium” features either: * become limited, * disappear entirely, * or lose a lot of usefulness without Hume Plus. What companies like Hume do is structure the experience so the free version gives you: * raw numbers, * basic graphs, * standard tracking. But the subscription unlocks what they market as the “intelligent” part: * advanced recovery analysis, * AI coaching, * deeper sleep/stress interpretation, * nutrition programs, * long-term reports, * personalized recommendations, * enhanced insights. So this ad is technically somewhat misleading!!"" (1 reactions) || ""As a clinician, this is really misleading. This device uses bioelectrical impedance, which estimates body composition based on resistance and assumptions. It does not directly measure visceral fat. Visceral fat is assessed through imaging like MRI, or estimated via DEXA, both of which are evidence-based clinical tools. Hydration status alone can significantly alter BIA readings, so presenting this as a “full body scan” comparable to clinical assessment is not accurate. Fine as a consumer wellness tool. Not a diagnostic device."" (1 reactions) || ""Potential buyers, just know, there is a yearly subscription for “all the info” and a free subscription for basic health info for this according to other comments on previous posts. So your investment for all the health info will be higher than the price of the scale. I'm not saying it's a bad thing, just know your “true cost” first."" (1 reactions)"
App / Bluetooth / connectivity,232,5%,"""You all need to put in the adds that the app is free but only gives you basic stuff. To unlock the full app it is $99/year"" (4 reactions) || ""I wouldn’t recommend. I have the scale and the bands. They are wildly inaccurate and constantly disconnect. And with customer service refusing to refund even though it says “don’t like it? No problem.” They say you must demonstrate it’s defective to get a refund. I’m a gym owner and was going to turn my members onto this. Not anymore."" (2 reactions) || ""“I was seriously considering buying this after seeing the ads, especially with the claims about predicting serious health issues. But after reading through a lot of reviews, I’m honestly shocked. So many people are saying it’s inaccurate, unreliable, and doesn’t sync properly. Some have said it feels cheaply made and the battery doesn’t last as advertised. For something that’s meant to give insights about your health, accuracy should be the bare minimum. I definitely wouldn’t trust something like this for anything important. Glad I checked Trustpilot first — I’ve saved myself nearly £200. If you’re thinking of buying it, I’d strongly recommend checking the reviews yourself before spending your money.”"" (1 reactions) || ""How much does the premium version of the app cost in the USA? Your website is deliberately vague, and I'm not going to invest in a device when I don't know the actual cost to use it. (Yes, I understand that the premium tier is not required; but I'm interested in the benefits it would offer beyond the basic tier.)"" (1 reactions) || ""Looks amazing. I’m sure there is an annual cost in the app or a tiered level of analysis data available to us. Probably still way more worth it though"" (1 reactions)"
Shipping / delivery delays,233,5%,"""Checked for you so you don’t have to: Reviewed in the United States on February 12, 2026 I ordered 2 of these bands (one for me and one for my wife) directly from the Hume website. Right after I placed the order I saw a Youtube video ""FAKE Scientists & Cheap Hardware! HUME Band Review"" which freaked me out. So I immediately sent an email requesting that my UNSHIPPED order be canceled. That's where the fun begins. Received no response from their customer support. So I sent another email request to cancel the unshipped order. No response. 2 days later the bands shipped. Sent another email. No reply. The bands arrive. More emails sent requesting a refund. Finally I get a reply for me to mail them back at my expense. I sent them back via FedEx (with signature tracking). Still, no refund. More emails. No replies. Canceled the charge through my credit card. That got their attention. They told me to cancel the chargeback and they would issue a refund. I was very skeptical - but compiled with their request. More radio silence on their end. After multiple pleading emails sent, they eventually did refund our $498. Lesson... This is a shady company! If you choose to do business with Hume be advised that you're in for zero support. They're happy to take your money, but their support is abysmal."" (2 reactions) || ""ordered my Scale May 30th and it still hasn't shipped! What gives?"" (2 reactions) || ""That’s not true you need a subscription to HUME which is approximately $9.99 per month. You don’t technically need it for the watch and scale to work however, there are so many features that don’t work if you don’t have the subscription. The hardware itself works without the subscription, but some of the “premium” features either: * become limited, * disappear entirely, * or lose a lot of usefulness without Hume Plus. What companies like Hume do is structure the experience so the free version gives you: * raw numbers, * basic graphs, * standard tracking. But the subscription unlocks what they market as the “intelligent” part: * advanced recovery analysis, * AI coaching, * deeper sleep/stress interpretation, * nutrition programs, * long-term reports, * personalized recommendations, * enhanced insights. So this ad is technically somewhat misleading!!"" (1 reactions) || ""At 38, with no prior history of heart issues, I presented with a 99.9% blockage in the LAD. I had been taken to the ER three days prior, then transported directly to a cardiologist for a stress test before being sent home (with comforting words and no diagnosis). The only reason it was found was because I insisted on having an angiogram. That morning, when I arrived at the cardiologist's office, apparently I was as pale as a ghost, and was panting heavily from walking from the parking lot to the building. It freaked the office staff out so badly, they rushed me directly to the cath Iab. I've had six subsequent heart attacks up until age fifty, and in the 12 years since? Nothing. Now I'm feeling the original symptoms all over again."" (1 reactions) || ""This company is absolute garbage. I tried to cancel my order shortly after checking out bc I found so many videos like this and they refused. So I emailed them. It took 22 emails to initiate the return process. I paid 56 dollars the day it was delivered to over night it back to them 3 weeks after it was verified they received the unopened box back they still have returned my money. This whole company screams scam. I’m beyond mad. This whole mess has been going on over a month now. I heavily advise steering clear of this company"" (1 reactions)"
Accuracy / BIA limitations,178,4%,"""To be honest, the Hume Band is very underwhelming. It's graphics are sketchy and you get practically nothing for the money. Accuracy is dubious as well."" (3 reactions) || ""I wouldn’t recommend. I have the scale and the bands. They are wildly inaccurate and constantly disconnect. And with customer service refusing to refund even though it says “don’t like it? No problem.” They say you must demonstrate it’s defective to get a refund. I’m a gym owner and was going to turn my members onto this. Not anymore."" (2 reactions) || ""What was the thing it didn’t do that the dexa did? I might’ve missed it, You said you’d get back to it and don’t ??"" (2 reactions) || ""“I was seriously considering buying this after seeing the ads, especially with the claims about predicting serious health issues. But after reading through a lot of reviews, I’m honestly shocked. So many people are saying it’s inaccurate, unreliable, and doesn’t sync properly. Some have said it feels cheaply made and the battery doesn’t last as advertised. For something that’s meant to give insights about your health, accuracy should be the bare minimum. I definitely wouldn’t trust something like this for anything important. Glad I checked Trustpilot first — I’ve saved myself nearly £200. If you’re thinking of buying it, I’d strongly recommend checking the reviews yourself before spending your money.”"" (1 reactions) || ""As a clinician, this is really misleading. This device uses bioelectrical impedance, which estimates body composition based on resistance and assumptions. It does not directly measure visceral fat. Visceral fat is assessed through imaging like MRI, or estimated via DEXA, both of which are evidence-based clinical tools. Hydration status alone can significantly alter BIA readings, so presenting this as a “full body scan” comparable to clinical assessment is not accurate. Fine as a consumer wellness tool. Not a diagnostic device."" (1 reactions)"
